,M box
0,49.603860398660714
1,49.31271568963155
2,26.16429289114078
3,2.324884917988283
4,37.22679160014357
5,44.200227041508725
6,27.703914430195127
7,10.878745578207718
8,8.936850703995015
9,37.23848595090067
10,25.151914995232534
11,41.66121740606295
12,14.909218464845658
13,19.38209842997131
14,37.17776422873899
15,6.27381074699402
16,33.337460715210916
17,34.22506766676036
18,5.605643717049782
19,34.55966858100674
20,19.40353243402097
21,38.22413049248899
22,30.345948794603945
23,48.075948413884795
24,48.90376018950735
25,27.08393828134451
26,49.76769435269865
27,25.61658225754108
28,14.987811281546167
29,41.656164057107105
30,34.900510264092375
31,48.638739715605126
32,25.56522991280154
33,12.196183909750372
34,26.142685829856056
35,21.664498581474803
36,17.839212336634407
37,28.978606744738027
38,43.77293471140132
39,33.0191116078531
40,33.157562370891796
41,8.084349955017624
42,11.14808998832727
43,20.41747102693136
44,38.4400212931091
45,34.819505535115276
46,24.78505984373021
47,30.60876559621137
48,8.00002654097025
49,18.479800133938966
50,17.697475928427377
51,24.218778657889054
52,40.47860812778424
53,24.201405975515375
54,6.605135150971631
55,11.884431538266119
56,25.289495791172957
57,23.20006469769794
58,35.96182428447807
59,36.02313837408491
60,31.125822884467663
61,41.983140162948615
62,27.15363914391574
63,12.381226854402
64,42.64409654295952
65,48.50532045353772
66,49.11999258929699
67,22.36037835902201
68,43.66986298203189
69,36.377435593567604
70,44.81919426004565
71,17.639586497885773
72,0.8941228686339491
73,23.77360891598996
74,41.00852530941469
75,28.308547084882818
76,9.77675638293372
77,2.765399543065992
78,12.869027959958844
79,27.08716963842464
80,10.975047012058218
81,6.787106150271121
82,41.40604374835745
83,29.684616020427235
84,8.52571768712117
85,11.647659658384486
86,37.13770927710385
87,33.6522178557495
88,34.58681195260012
89,18.722975645216067
90,0.7177616333585147
91,38.361800543909226
92,25.928841713011913
93,6.860066413262027
94,46.35132855257531
95,16.52544125045676
96,45.57597087968166
97,46.10778575691702
98,19.053710028972958
99,31.17534900593646
100,9.893642434166738
101,2.0426510550392716
102,4.250366236233989
103,44.97308036048757
104,45.37391959190583
105,21.93578466426489
106,35.707496962611415
107,3.346350488393317
108,29.6875356951452
109,36.36047862170667
110,10.52365959763464
111,32.28362545507193
112,18.0502957764189
113,49.90301135479238
114,22.97194027479199
115,28.628927491995242
116,7.440738779453232
117,39.971495720752976
118,33.013306549918234
119,31.48533592564317
120,42.15165619428089
121,6.626687586106035
122,10.835289919074127
123,16.023754655672736
124,37.842501749840785
125,45.27660218647998
126,11.074580714854108
127,18.785564916773115
128,31.858584929422605
129,48.192426603891676
130,23.717738440175857
131,42.88841207915484
132,0.9235668514176529
133,13.415166454172098
134,46.50574353865689
135,8.765234739164372
136,5.258689792781673
137,22.454031825188324
138,36.82934640852104
139,4.052400131590986
140,40.12079028810956
141,7.575121933879412
142,22.40075902313408
143,29.001687555756693
144,5.593669558407289
145,15.037435312053763
146,29.547885170759937
147,44.35589672080993
148,28.087391272544757
149,10.103451156184954
150,37.19383419283355
151,41.09016892797519
152,7.730788697751226
153,31.939528587247835
154,40.506330020765375
155,5.7703733526343015
156,40.4151887415019
157,23.224172786949286
158,29.999707240683087
159,8.15129626178312
160,11.1222523074458
161,17.683946343158198
162,41.000526740491054
163,21.765168511662015
164,10.833146713045977
165,0.5676841244101284
166,10.225217612702028
167,22.269329765992683
168,44.276479068028
169,30.2816059539402
170,38.06752642361041
171,7.261207447591094
172,4.843584735251639
173,40.316379076030366
174,31.86911264735933
175,44.42459106620627
176,14.986079461844714
177,41.47581389046071
178,46.42373910744664
179,40.951840013469685
180,5.4434814922873205
181,19.47703352907416
182,25.008500535600238
183,1.7781756029284406
184,44.683620422998125
185,27.22995402131766
186,14.556080284711408
187,25.795106692362555
188,23.200053031917825
189,38.61759166296657
190,43.21349901060787
191,20.981626633673486
192,40.43712892382361
193,0.8640614622747783
194,16.64484131415816
195,4.865851298837725
196,25.922874571737516
197,21.18939148208584
198,1.3999666051080475
199,8.251737490731696
200,5.560187947924657
201,16.613839668994512
202,41.01499626114453
203,6.711320360609013
204,29.765690171134757
205,20.020872771778148
206,24.96099725917653
207,19.57837719651856
208,25.12929538833737
209,14.016079399038148
210,46.170926174385905
211,10.983880055213103
212,33.23968908272351
213,47.38806654537417
214,31.801505511573044
215,36.87882673242017
216,34.94094351774439
217,20.14926019102062
218,4.306802425811932
219,19.33722704940764
220,44.5594105269614
221,34.50801788681537
222,39.84394591169254
223,29.962813321810845
224,43.6280869303556
225,44.98342533242747
226,6.445533974365586
227,48.89223275149091
228,36.572912931656525
229,37.964707098661236
230,44.47199916057066
231,32.31119003963643
232,36.040814069801414
233,31.73434918010509
234,28.35848878088941
235,23.964721251403464
236,4.518155202002575
237,21.83961479821416
238,18.755909088308037
239,28.059069540983238
240,28.185074773710713
241,35.92332352078265
242,40.98928809816356
243,2.941752050664692
244,38.63734201874675
245,47.28342790766629
246,30.550782529634237
247,48.41998816261637
248,21.72865222741804
249,28.59504375945409
250,31.0926799281106
251,42.59178694854697
252,19.726545218904928
253,9.342822934527835
254,4.634461446661821
255,14.168043834269215
256,27.27618238228797
257,34.037599420065256
258,9.751368022490961
259,30.4172026847841
260,46.776857899369155
261,0.1313134529844156
262,0.18439905142449903
263,49.145102125351535
264,37.89084459719546
265,33.832009207369495
266,14.849919264713598
267,15.049478809919766
268,39.76465843851916
269,29.79954353728629
270,41.98534699993712
271,16.68809734148058
272,46.60654775445252
273,4.976760009793286
274,23.857139546181457
275,11.170035510307482
276,10.097613180783599
277,48.28281873675928
278,9.370083338365252
279,11.261721609492978
280,42.761111343747295
281,25.447236265528144
